Step,with residual,wo residual
1,-0.977278471,-0.165732399
2,-0.977456987,-0.202603042
4,-0.975328803,-0.224523142
5,-0.977193177,-0.243577287
7,-0.976232111,-0.263919473
8,-0.975946486,-0.291385293
9,-0.977559924,-0.308273047
10,-0.977561414,-0.313726276
12,-0.975731611,-0.344890267
15,-0.975358427,-0.361585408
16,-0.976855516,-0.388823241
17,-0.977192819,-0.388304442
21,-0.976452708,-0.406443626
22,-0.977545679,-0.418658048
23,-0.975723505,-0.435943723
24,-0.976018906,-0.432294011
30,-0.976397038,-0.443631858
31,-0.977838874,-0.46246317
32,-0.977714419,-0.473113298
34,-0.976768911,-0.483639657
37,-0.975313663,-0.49993974
38,-0.97676748,-0.500676215
39,-0.976857126,-0.508051872
41,-0.977281213,-0.533390403
47,-0.976843774,-0.540370584
48,-0.977389336,-0.546092749
50,-0.976409972,-0.547588646
51,-0.976206422,-0.546633601
52,-0.977772951,-0.557801723
60,-0.977976799,-0.558809698
63,-0.97727102,-0.580392003
67,-0.977705657,-0.569742203
68,-0.977697253,-0.579307437
69,-0.977706492,-0.573394537
71,-0.977867842,-0.586483479
77,-0.977920532,-0.59191823
79,-0.976446629,-0.588525295
81,-0.977155626,-0.605532885
82,-0.976982117,-0.607009411
83,-0.976980984,-0.604630411
84,-0.976493239,-0.624001622
85,-0.978840828,-0.621345997
86,-0.980072856,-0.623431325
87,-0.977104425,-0.627032101
89,-0.978552103,-0.640802801
91,-0.976896942,-0.6429106
94,-0.976079404,-0.62086308
95,-0.977515697,-0.638628542
96,-0.977138638,-0.64820838
100,-0.977047682,-0.644733429
102,-0.977789462,-0.636446476
105,-0.976836145,-0.654855192
107,-0.97794199,-0.652657211
108,-0.978509903,-0.661549389
109,-0.978017926,-0.659004867
110,-0.977770805,-0.659135699
111,-0.978319168,-0.668437064
112,-0.978304982,-0.663187027
114,-0.97693181,-0.670860052
117,-0.978389263,-0.677882791
121,-0.978371859,-0.666752458
122,-0.976159334,-0.69438827
123,-0.977403045,-0.676800013
